Nem,ev,szam
Feminin,1990,22.0
Feminin,1991,22.0
Feminin,1992,22.1
Feminin,1993,22.2
Feminin,1994,22.4
Feminin,1995,22.8
Feminin,1996,22.8
Feminin,1997,22.9
Feminin,1998,23.2
Feminin,1999,23.3
Feminin,2000,23.6
Feminin,2001,23.9
Feminin,2002,24.1
Feminin,2003,24.4
Feminin,2004,25.0
Feminin,2005,25.2
Feminin,2006,25.3
Feminin,2007,26.3
Feminin,2008,25.9
Feminin,2009,25.8
Feminin,2010,26.0
Feminin,2011,26.2
Feminin,2012,26.4
Feminin,2013,26.7
Feminin,2014,27.3
Feminin,2015,27.4
Feminin,2016,27.6
Feminin,2017,28.2
Feminin,2018,28.7
Feminin,2019,28.3
Feminin,2020,28.1
Feminin,2021,28.3
Feminin,2022,28.8
Maculin ,1990,25.0
Maculin ,1991,25.0
Maculin ,1992,25.2
Maculin ,1993,25.4
Maculin ,1994,25.6
Maculin ,1995,26.0
Maculin ,1996,26.0
Maculin ,1997,26.2
Maculin ,1998,26.4
Maculin ,1999,26.5
Maculin ,2000,26.9
Maculin ,2001,27.2
Maculin ,2002,27.3
Maculin ,2003,27.7
Maculin ,2004,28.3
Maculin ,2005,28.5
Maculin ,2006,28.6
Maculin ,2007,29.8
Maculin ,2008,29.1
Maculin ,2009,29.1
Maculin ,2010,29.1
Maculin ,2011,29.3
Maculin ,2012,29.6
Maculin ,2013,29.9
Maculin ,2014,30.4
Maculin ,2015,30.6
Maculin ,2016,30.8
Maculin ,2017,31.5
Maculin ,2018,31.9
Maculin ,2019,31.6
Maculin ,2020,31.4
Maculin ,2021,31.6
Maculin ,2022,32.1
