megye,ev,szam
Alba,1990,3271
Alba,1991,3214
Alba,1992,2949
Alba,1993,2692
Alba,1994,2792
Alba,1995,2688
Alba,1996,2788
Alba,1997,2731
Alba,1998,2730
Alba,1999,2542
Alba,2000,2348
Alba,2001,2295
Alba,2002,2285
Alba,2003,2338
Alba,2005,2296
Alba,2006,2451
Alba,2007,3167
Alba,2008,2399
Alba,2009,2370
Alba,2010,2004
Alba,2011,1841
Alba,2012,1897
Alba,2013,1886
Alba,2014,1891
Alba,2015,1970
Alba,2016,2163
Alba,2017,2191
Alba,2018,2143
Alba,2019,2060
Alba,2020,1239
Alba,2021,1806
Alba,2022,1894
Alba,3004,2442
Arad,1990,4177
Arad,1991,3836
Arad,1992,3714
Arad,1993,3237
Arad,1994,3113
Arad,1995,3313
Arad,1996,2974
Arad,1997,2994
Arad,1998,3128
Arad,1999,2891
Arad,2000,2923
Arad,2001,2794
Arad,2002,2748
Arad,2003,2789
Arad,2005,2936
Arad,2006,3175
Arad,2007,3976
Arad,2008,3068
Arad,2009,2769
Arad,2010,2604
Arad,2011,2406
Arad,2012,2434
Arad,2013,2449
Arad,2014,2717
Arad,2015,2993
Arad,2016,3124
Arad,2017,3185
Arad,2018,3183
Arad,2019,3178
Arad,2020,2226
Arad,2021,2704
Arad,2022,2908
Arad,3004,3046
Arges,1990,5951
Arges,1991,5951
Arges,1992,5530
Arges,1993,5314
Arges,1994,4993
Arges,1995,4849
Arges,1996,4875
Arges,1997,4732
Arges,1998,4598
Arges,1999,4337
Arges,2000,4112
Arges,2001,4107
Arges,2002,4185
Arges,2003,4081
Arges,2005,4112
Arges,2006,4372
Arges,2007,5341
Arges,2008,4301
Arges,2009,3996
Arges,2010,3487
Arges,2011,3123
Arges,2012,3241
Arges,2013,3066
Arges,2014,3302
Arges,2015,3510
Arges,2016,3730
Arges,2017,3773
Arges,2018,3934
Arges,2019,3580
Arges,2020,2112
Arges,2021,3084
Arges,2022,3218
Arges,3004,4308
Bacau,1990,6576
Bacau,1991,6206
Bacau,1992,5742
Bacau,1993,5478
Bacau,1994,5439
Bacau,1995,5353
Bacau,1996,5123
Bacau,1997,4974
Bacau,1998,4996
Bacau,1999,4826
Bacau,2000,4769
Bacau,2001,4556
Bacau,2002,4453
Bacau,2003,4812
Bacau,2005,4906
Bacau,2006,4912
Bacau,2007,6341
Bacau,2008,4698
Bacau,2009,4347
Bacau,2010,3864
Bacau,2011,3341
Bacau,2012,3342
Bacau,2013,3298
Bacau,2014,3639
Bacau,2015,3833
Bacau,2016,4109
Bacau,2017,4182
Bacau,2018,4398
Bacau,2019,4167
Bacau,2020,2366
Bacau,2021,3929
Bacau,2022,3927
Bacau,3004,4902
Bihor,1990,5010
Bihor,1991,4691
Bihor,1992,4474
Bihor,1993,4148
Bihor,1994,4073
Bihor,1995,4230
Bihor,1996,3918
Bihor,1997,3817
Bihor,1998,3871
Bihor,1999,3724
Bihor,2000,3737
Bihor,2001,3496
Bihor,2002,3534
Bihor,2003,3535
Bihor,2005,3808
Bihor,2006,3898
Bihor,2007,6072
Bihor,2008,4133
Bihor,2009,3760
Bihor,2010,3395
Bihor,2011,3101
Bihor,2012,3127
Bihor,2013,3032
Bihor,2014,3195
Bihor,2015,3559
Bihor,2016,3632
Bihor,2017,3664
Bihor,2018,3836
Bihor,2019,3624
Bihor,2020,2449
Bihor,2021,3482
Bihor,2022,3295
Bihor,3004,3782
Bistrita-Nasaud,1990,2716
Bistrita-Nasaud,1991,2664
Bistrita-Nasaud,1992,2619
Bistrita-Nasaud,1993,2332
Bistrita-Nasaud,1994,2384
Bistrita-Nasaud,1995,2476
Bistrita-Nasaud,1996,2401
Bistrita-Nasaud,1997,2362
Bistrita-Nasaud,1998,2198
Bistrita-Nasaud,1999,2040
Bistrita-Nasaud,2000,2138
Bistrita-Nasaud,2001,2009
Bistrita-Nasaud,2002,2079
Bistrita-Nasaud,2003,2004
Bistrita-Nasaud,2005,2162
Bistrita-Nasaud,2006,2332
Bistrita-Nasaud,2007,2507
Bistrita-Nasaud,2008,2157
Bistrita-Nasaud,2009,1987
Bistrita-Nasaud,2010,1797
Bistrita-Nasaud,2011,1767
Bistrita-Nasaud,2012,1844
Bistrita-Nasaud,2013,1768
Bistrita-Nasaud,2014,1823
Bistrita-Nasaud,2015,1993
Bistrita-Nasaud,2016,2053
Bistrita-Nasaud,2017,1996
Bistrita-Nasaud,2018,2100
