Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
0- 4 ani, Total, Total, Bihor, Anul 2012, Numar persoane, 31013
0- 4 ani, Total, Total, Bihor, Anul 2013, Numar persoane, 30148
0- 4 ani, Total, Total, Bihor, Anul 2014, Numar persoane, 29248
0- 4 ani, Total, Total, Bihor, Anul 2015, Numar persoane, 28702
0- 4 ani, Total, Total, Bihor, Anul 2016, Numar persoane, 28365
0- 4 ani, Total, Total, Bihor, Anul 2017, Numar persoane, 28656
0- 4 ani, Total, Total, Bihor, Anul 2018, Numar persoane, 29312
0- 4 ani, Total, Total, Bihor, Anul 2019, Numar persoane, 30019
0- 4 ani, Total, Total, Bihor, Anul 2020, Numar persoane, 30317
0- 4 ani, Total, Total, Bihor, Anul 2021, Numar persoane, 30547
0- 4 ani, Total, Total, Bihor, Anul 2022, Numar persoane, 30155
0- 4 ani, Total, Total, Bihor, Anul 2023, Numar persoane, 29800
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 16529
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 15963
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 15703
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 15671
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 15804
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 16298
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2018, Numar persoane, 16798
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2019, Numar persoane, 17066
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2020, Numar persoane, 17234
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2021, Numar persoane, 17221
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2022, Numar persoane, 17076
0- 4 ani, Total, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 16672
0- 4 ani, Total, Total, Cluj, Anul 2012, Numar persoane, 32536
0- 4 ani, Total, Total, Cluj, Anul 2013, Numar persoane, 32145
0- 4 ani, Total, Total, Cluj, Anul 2014, Numar persoane, 31720
0- 4 ani, Total, Total, Cluj, Anul 2015, Numar persoane, 31995
0- 4 ani, Total, Total, Cluj, Anul 2016, Numar persoane, 32244
