Ev,1990
Alba,2773
Arad,7335
Arges,270
Bacau,232
Bihor,3011
Botosani,102
Braila,132
Brasov,8925
Buzau,164
Calarasi,130
Caras-Severin,3703
Cluj,2965
Constanta,921
Covasna,766
Dambovita,196
Dolj,275
Galati,213
Giurgiu,102
Gorj,80
Harghita,1448
Hunedoara,1071
Ialomita,72
Iasi,381
Ilfov,199
Maramures,1356
Mehedinti,239
Municipiul Bucuresti,7778
Mures,4920
Neamt,167
Olt,66
Prahova,323
Salaj,423
Satu Mare,3084
Sibiu,20849
Suceava,814
Teleorman,111
Timis,20426
Tulcea,95
Valcea,167
Vaslui,65
Vrancea,123
