orszag,ev,szam
Albania,2013,
Albania,2014,4240.0
Albania,2015,3761.0
Albania,2016,5582.0
Albania,2017,4508.0
Albania,2018,4846.0
Albania,2019,5860.0
Albania,2020,
Albania,2021,3113.0
Albania,2022,
Armenia,2013,
Armenia,2014,4496.0
Armenia,2015,3670.0
Armenia,2016,3648.0
Armenia,2017,
Armenia,2018,3820.0
Armenia,2019,3880.0
Armenia,2020,3155.0
Armenia,2021,
Armenia,2022,4525.0
Austria,2013,15958.0
Austria,2014,16647.0
Austria,2015,16351.0
Austria,2016,15919.0
Austria,2017,16180.0
Austria,2018,16304.0
Austria,2019,16319.0
Austria,2020,14870.0
Austria,2021,
Austria,2022,
Azerbaijan,2013,11730.0
Azerbaijan,2014,12088.0
Azerbaijan,2015,12764.0
Azerbaijan,2016,13114.0
Azerbaijan,2017,14514.0
Azerbaijan,2018,14857.0
Azerbaijan,2019,17148.0
Azerbaijan,2020,14628.0
Azerbaijan,2021,
Azerbaijan,2022,
Belarus,2013,36105.0
Belarus,2014,34864.0
Belarus,2015,32984.0
Belarus,2016,32628.0
Belarus,2017,32006.0
Belarus,2018,33152.0
Belarus,2019,
Belarus,2020,
Belarus,2021,
Belarus,2022,
Belgium,2013,24872.0
Belgium,2014,24310.0
Belgium,2015,24667.0
Belgium,2016,23583.0
Belgium,2017,23068.0
Belgium,2018,23135.0
Belgium,2019,22435.0
Belgium,2020,21313.0
Belgium,2021,22172.0
Belgium,2022,19363.0
Bulgaria,2013,10908.0
Bulgaria,2014,10584.0
Bulgaria,2015,10483.0
Bulgaria,2016,10603.0
Bulgaria,2017,10411.0
Bulgaria,2018,10596.0
Bulgaria,2019,10859.0
Bulgaria,2020,9015.0
Bulgaria,2021,10021.0
Bulgaria,2022,9525.0
Croatia,2013,5992.0
Croatia,2014,6140.0
Croatia,2015,6010.0
Croatia,2016,7036.0
Croatia,2017,6265.0
Croatia,2018,6125.0
Croatia,2019,5936.0
Croatia,2020,5153.0
Croatia,2021,5100.0
Croatia,2022,4808.0
Cyprus,2013,1857.0
Cyprus,2014,1884.0
Cyprus,2015,1807.0
