Nem,ev,szam
Feminin,1996,27.1
Feminin,1997,27.3
Feminin,1998,27.5
Feminin,1999,27.6
Feminin,2000,27.6
Feminin,2001,28.2
Feminin,2002,28.3
Feminin,2003,28.5
Feminin,2004,29.1
Feminin,2005,30.2
Feminin,2006,30.4
Feminin,2007,29.7
Feminin,2008,30.4
Feminin,2009,29.6
Feminin,2010,29.8
Feminin,2011,30.1
Feminin,2012,30.3
Feminin,2013,30.6
Feminin,2014,31.6
Feminin,2015,31.6
Feminin,2016,31.9
Feminin,2017,33.6
Feminin,2018,33.8
Feminin,2019,32.5
Feminin,2020,32.4
Feminin,2021,32.5
Feminin,2022,33.3
Masculin,1996,30.2
Masculin,1997,30.4
Masculin,1998,30.5
Masculin,1999,30.5
Masculin,2000,30.7
Masculin,2001,31.3
Masculin,2002,31.2
Masculin,2003,31.6
Masculin,2004,32.5
Masculin,2005,33.8
Masculin,2006,33.7
Masculin,2007,32.6
Masculin,2008,33.7
Masculin,2009,32.5
Masculin,2010,32.6
Masculin,2011,32.8
Masculin,2012,33.1
Masculin,2013,33.4
Masculin,2014,34.4
Masculin,2015,34.5
Masculin,2016,34.7
Masculin,2017,36.3
Masculin,2018,36.5
Masculin,2019,35.0
Masculin,2020,35.0
Masculin,2021,35.2
Masculin,2022,35.9
