megye,ev,szam
Alba,1990,531
Arad,1990,990
Arges,1990,870
Bacau,1990,996
Bihor,1990,828
Bistrita-Nasaud,1990,322
Botosani,1990,443
Braila,1990,714
Brasov,1990,1101
Buzau,1990,508
Calarasi,1990,385
Caras-Severin,1990,566
Cluj,1990,1053
Constanta,1990,1112
Covasna,1990,209
Dambovita,1990,766
Dolj,1990,1368
Galati,1990,970
Giurgiu,1990,324
Gorj,1990,531
Harghita,1990,337
Hunedoara,1990,1024
Ialomita,1990,319
Iasi,1990,1120
Ilfov,1990,318
Maramures,1990,610
Mehedinti,1990,447
Municipiul Bucuresti,1990,4628
Mures,1990,744
Neamt,1990,684
Olt,1990,434
Prahova,1990,1485
Salaj,1990,183
Satu Mare,1990,556
Sibiu,1990,756
Suceava,1990,960
Teleorman,1990,472
Timis,1990,1467
Tulcea,1990,221
Valcea,1990,631
Vaslui,1990,487
Vrancea,1990,496
Alba,1991,592
Arad,1991,1108
Arges,1991,1146
Bacau,1991,1063
Bihor,1991,686
Bistrita-Nasaud,1991,270
Botosani,1991,452
Braila,1991,808
Brasov,1991,792
Buzau,1991,577
Calarasi,1991,467
Caras-Severin,1991,663
Cluj,1991,1091
Constanta,1991,1453
Covasna,1991,269
Dambovita,1991,894
Dolj,1991,818
Galati,1991,1289
Giurgiu,1991,369
Gorj,1991,688
Harghita,1991,371
Hunedoara,1991,1383
Ialomita,1991,439
Iasi,1991,1161
Ilfov,1991,293
Maramures,1991,691
Mehedinti,1991,536
Municipiul Bucuresti,1991,4868
Mures,1991,920
Neamt,1991,856
Olt,1991,430
Prahova,1991,1864
Salaj,1991,219
Satu Mare,1991,646
Sibiu,1991,873
Suceava,1991,1299
Teleorman,1991,557
Timis,1991,1818
Tulcea,1991,295
Valcea,1991,735
Vaslui,1991,571
Vrancea,1991,711
Alba,1992,520
Arad,1992,967
Arges,1992,969
Bacau,1992,846
Bihor,1992,455
Bistrita-Nasaud,1992,350
Botosani,1992,352
Braila,1992,704
Brasov,1992,852
Buzau,1992,369
Calarasi,1992,342
Caras-Severin,1992,681
Cluj,1992,1003
Constanta,1992,897
Covasna,1992,171
Dambovita,1992,569
Dolj,1992,739
Galati,1992,1012
Giurgiu,1992,229
Gorj,1992,544
Harghita,1992,346
Hunedoara,1992,1128
Ialomita,1992,345
Iasi,1992,674
Ilfov,1992,220
Maramures,1992,527
Mehedinti,1992,257
Municipiul Bucuresti,1992,3817
Mures,1992,627
Neamt,1992,615
Olt,1992,361
Prahova,1992,1638
Salaj,1992,190
Satu Mare,1992,442
Sibiu,1992,766
Suceava,1992,946
Teleorman,1992,467
Timis,1992,1833
Tulcea,1992,199
Valcea,1992,351
Vaslui,1992,511
Vrancea,1992,459
Alba,1993,468
Arad,1993,983
Arges,1993,898
Bacau,1993,1118
Bihor,1993,558
Bistrita-Nasaud,1993,413
Botosani,1993,481
Braila,1993,815
