megye,ev,szam
Alba,1990,531
Alba,1991,592
Alba,1992,520
Alba,1993,468
Alba,1994,753
Alba,1995,598
Alba,1996,619
Alba,1997,668
Alba,1998,725
Alba,1999,616
Alba,2000,570
Alba,2001,550
Alba,2002,669
Alba,2003,636
Alba,2004,703
Alba,2005,563
Alba,2006,555
Alba,2007,530
Alba,2008,618
Alba,2009,566
Alba,2010,692
Alba,2011,717
Alba,2012,618
Alba,2013,510
Alba,2014,512
Alba,2015,625
Alba,2016,607
Alba,2017,599
Alba,2018,609
Alba,2019,603
Alba,2020,343
Alba,2021,578
Alba,2022,444
Arad,1990,990
Arad,1991,1108
Arad,1992,967
Arad,1993,983
Arad,1994,1172
Arad,1995,1034
Arad,1996,1051
Arad,1997,915
Arad,1998,1125
Arad,1999,943
Arad,2000,864
Arad,2001,927
Arad,2002,866
Arad,2003,855
Arad,2004,842
Arad,2005,706
Arad,2006,718
Arad,2007,936
Arad,2008,792
Arad,2009,657
Arad,2010,604
Arad,2011,733
Arad,2012,838
Arad,2013,724
Arad,2014,532
Arad,2015,545
Arad,2016,497
Arad,2017,699
Arad,2018,681
Arad,2019,489
Arad,2020,478
Arad,2021,361
Arad,2022,495
Arges,1990,870
Arges,1991,1146
Arges,1992,969
Arges,1993,898
Arges,1994,1362
Arges,1995,779
Arges,1996,1044
Arges,1997,889
Arges,1998,1339
Arges,1999,864
Arges,2000,757
Arges,2001,1056
Arges,2002,934
Arges,2003,884
Arges,2004,1071
Arges,2005,1021
Arges,2006,1121
Arges,2007,1078
Arges,2008,948
Arges,2009,866
Arges,2010,1235
Arges,2011,1332
Arges,2012,1026
Arges,2013,957
Arges,2014,904
Arges,2015,989
Arges,2016,863
Arges,2017,1193
Arges,2018,1091
Arges,2019,1179
Arges,2020,767
Arges,2021,848
Arges,2022,1039
Bacau,1990,996
Bacau,1991,1063
Bacau,1992,846
Bacau,1993,1118
Bacau,1994,1522
Bacau,1995,1331
Bacau,1996,1333
Bacau,1997,1483
Bacau,1998,2015
Bacau,1999,1709
Bacau,2000,1523
Bacau,2001,1420
Bacau,2002,1583
Bacau,2003,1560
Bacau,2004,1837
Bacau,2005,1421
Bacau,2006,1507
Bacau,2007,1399
Bacau,2008,1796
Bacau,2009,1304
Bacau,2010,1398
Bacau,2011,1415
Bacau,2012,1124
Bacau,2013,1072
Bacau,2014,1001
Bacau,2015,968
Bacau,2016,979
Bacau,2017,1078
Bacau,2018,1145
Bacau,2019,1037
Bacau,2020,836
Bacau,2021,910
Bacau,2022,822
Bihor,1990,828
Bihor,1991,686
Bihor,1992,455
Bihor,1993,558
Bihor,1994,553
Bihor,1995,608
Bihor,1996,396
Bihor,1997,547
Bihor,1998,663
Bihor,1999,473
Bihor,2000,672
Bihor,2001,530
Bihor,2002,624
Bihor,2003,734
Bihor,2004,662
Bihor,2005,622
Bihor,2006,425
Bihor,2007,512
Bihor,2008,528
Bihor,2009,637
Bihor,2010,1016
Bihor,2011,1158
Bihor,2012,873
Bihor,2013,797
Bihor,2014,743
Bihor,2015,1005
Bihor,2016,1028
Bihor,2017,1004
Bihor,2018,925
Bihor,2019,993
Bihor,2020,793
Bihor,2021,927
Bihor,2022,806
Bistrita-Nasaud,1990,322
Bistrita-Nasaud,1991,270
Bistrita-Nasaud,1992,350
Bistrita-Nasaud,1993,413
Bistrita-Nasaud,1994,533
Bistrita-Nasaud,1995,424
Bistrita-Nasaud,1996,499
Bistrita-Nasaud,1997,448
Bistrita-Nasaud,1998,628
Bistrita-Nasaud,1999,471
Bistrita-Nasaud,2000,486
Bistrita-Nasaud,2001,490
Bistrita-Nasaud,2002,415
Bistrita-Nasaud,2003,402
Bistrita-Nasaud,2004,481
Bistrita-Nasaud,2005,387
Bistrita-Nasaud,2006,639
Bistrita-Nasaud,2007,524
Bistrita-Nasaud,2008,303
Bistrita-Nasaud,2009,455
Bistrita-Nasaud,2010,432
Bistrita-Nasaud,2011,359
Bistrita-Nasaud,2012,271
Bistrita-Nasaud,2013,280
Bistrita-Nasaud,2014,199
Bistrita-Nasaud,2015,270
Bistrita-Nasaud,2016,269
Bistrita-Nasaud,2017,378
Bistrita-Nasaud,2018,390
Bistrita-Nasaud,2019,311
Bistrita-Nasaud,2020,169
Bistrita-Nasaud,2021,429
Bistrita-Nasaud,2022,351
Botosani,1990,443
Botosani,1991,452
Botosani,1992,352
Botosani,1993,481
Botosani,1994,770
Botosani,1995,676
Botosani,1996,608
Botosani,1997,724
Botosani,1998,802
Botosani,1999,662
Botosani,2000,704
Botosani,2001,616
Botosani,2002,698
Botosani,2003,711
Botosani,2004,707
Botosani,2005,768
Botosani,2006,688
Botosani,2007,755
Botosani,2008,752
Botosani,2009,711
Botosani,2010,795
Botosani,2011,667
Botosani,2012,502
Botosani,2013,487
Botosani,2014,747
Botosani,2015,923
Botosani,2016,629
Botosani,2017,857
Botosani,2018,662
Botosani,2019,666
Botosani,2020,389
Botosani,2021,601
Botosani,2022,497
Braila,1990,714
Braila,1991,808
Braila,1992,704
Braila,1993,815
Braila,1994,893
Braila,1995,755
Braila,1996,733
Braila,1997,737
Braila,1998,826
Braila,1999,658
Braila,2000,695
Braila,2001,666
Braila,2002,784
Braila,2003,686
Braila,2004,749
Braila,2005,827
Braila,2006,829
Braila,2007,799
Braila,2008,888
Braila,2009,733
Braila,2010,664
Braila,2011,864
Braila,2012,705
Braila,2013,708
Braila,2014,703
Braila,2015,726
Braila,2016,680
Braila,2017,654
Braila,2018,661
Braila,2019,619
Braila,2020,428
Braila,2021,470
Braila,2022,517
Brasov,1990,1101
Brasov,1991,792
Brasov,1992,852
Brasov,1993,997
Brasov,1994,893
Brasov,1995,1325
Brasov,1996,1246
Brasov,1997,1411
Brasov,1998,1288
Brasov,1999,1277
Brasov,2000,1097
Brasov,2001,1047
Brasov,2002,977
Brasov,2003,1013
Brasov,2004,858
Brasov,2005,1075
Brasov,2006,959
Brasov,2007,1630
Brasov,2008,890
Brasov,2009,1657
Brasov,2010,903
Brasov,2011,1396
Brasov,2012,945
Brasov,2013,1075
Brasov,2014,1124
Brasov,2015,1083
Brasov,2016,1024
Brasov,2017,1088
Brasov,2018,1128
Brasov,2019,1104
Brasov,2020,872
Brasov,2021,997
Brasov,2022,966
Buzau,1990,508
Buzau,1991,577
Buzau,1992,369
Buzau,1993,425
Buzau,1994,456
Buzau,1995,636
Buzau,1996,828
Buzau,1997,719
Buzau,1998,897
Buzau,1999,692
Buzau,2000,706
Buzau,2001,749
Buzau,2002,698
Buzau,2003,736
Buzau,2004,785
Buzau,2005,726
Buzau,2006,821
Buzau,2007,873
Buzau,2008,825
Buzau,2009,781
Buzau,2010,824
